(a)_child  וָלָד
you(ms)_were_taken  לֻקָּחְתָּ
you(ms)_will_be  תִּהְיֶה
you(ms)_will_crush/cover_over=him/it  תְּשׁוּפֶ=נּוּ
you(ms)_will_destroy  תְּהוֹבֵד
you(ms)_will_die  תָּמוּת
you(ms)_will_do_well/be_happy  תֵּיטִיב
you(ms)_will_do_well/be_happy  תֵיטִיב
you(ms)_will_eat  תֹּאכֵל
you(ms)_will_eat  תֹּאכַל
you(ms)_will_eat=it(f)  תֹּאכֲלֶ=נָּה
you(ms)_will_forget  תִשְׁכַּח
you(ms)_will_make  תַּעֲשֶׂה
you(ms)_will_return  תָּשׁוּב
you(ms)_will_rule  תִּמְשָׁל
you(ms)_will_see  תִרְאֶה
you(ms)_will_touch  תִגְּעוּ
you(ms)_will_walk  תֵלֵךְ
you(ms)_work/serve/till  תַֽעֲבֹד
you(pl)  אַנְתּוּן
you(pl)=to_eat  אֲכָלְ=כֶם
you(pl)_came_to_a_decision  הזמנתון
you(pl)_must_eat  תֹאכְלוּ
you(pl)_see  חֲזֵיתוֹן
you(pl)_will_be_made  תִּתְעַבְדוּן
you(pl)_will_die=(emph)  תְּמֻתוּ=ן
you(pl)_will_receive  תְּקַבְּלוּן
you(sg)  אנתה
you_will_see  תִּרְאֵה
your(fs)=heart  לְבָבֵ=ךְ
your(fs)=longing/desire  תְּשׁוּקָתֵ=ךְ
your(fs)=man/husband  אִישֵׁ=ךְ
your(fs)=worries/pain  עִצְּבוֹנֵ=ךְ
your(ms)=bed  מִשְׁכְּבָ=ךְ
your(ms)=belly/abdomen  גְּחֹנְ=ךָ
your(ms)=both_nostrils  אַפֶּי=ךָ
your(ms)=brother/kindred  אָחִי=ךָ
your(ms)=faces/face  פָנֶֽי=ךָ
your(ms)=female_slave  אֲמָתֶ=ךָ
your(ms)=going  בֹּאֲ=כָה
your(ms)=head  רֵאשָׁ=ךְ
your(ms)=life  חַיֶּֽי=ךָ
your(ms)=name  שְׁמֶ=ךָ
your(ms)=seed/fruit  זַרְעֲ=ךָ
your(ms)=sound/voice  קֹלְ=ךָ
your(ms)=thoughts  רַעְיוֹנָ=ךְ
your(ms)=woman/wife  אִשְׁתֶּ=ךָ
your(pl)=drink  מִשְׁתֵּי=כֶם
your(pl)=eyes  עֵינֵי=כֶם
your(pl)=faces  פְּנֵי=כֶם
your(pl)=food  מַאֲכַלְ=כֶם
your(sg)=dream  חֶלְמָ=ךְ
your=servants  עֲבָדֶי=ךָ
Yuval/Jubal  יוּבָל
Zevulun  זְבוּלֻן
